,leagueID,season,homeTeamID,awayTeamID,home_shots_h_rolling5,home_shotsOnTarget_h_rolling5,home_shots_a_rolling5,home_shotsOnTarget_a_rolling5,home_fouls_h_rolling5,home_fouls_a_rolling5,home_ppda_h_rolling5,home_ppda_a_rolling5,home_deep_h_rolling5,home_corners_h_rolling5,home_total_key_passes_h_rolling5,home_total_assists_a_rolling5,away_shotsOnTarget_h_rolling5,away_fouls_h_rolling5,away_fouls_a_rolling5,away_ppda_h_rolling5,away_deep_h_rolling5,away_deep_a_rolling5,away_total_key_passes_h_rolling5,away_total_key_passes_a_rolling5,away_total_saved_shots_h_rolling5,away_total_saved_shots_a_rolling5,result
8507,4.0,2018.0,138.0,148.0,18.2,5.4,8.2,2.8,14.6,14.2,7.229819999999999,10.229280000000003,5.6,4.8,12.6,0.8,4.6,12.6,14.2,9.374179999999999,4.6,4.0,11.0,8.8,2.4,2.8,0.0
8514,2.0,2018.0,112.0,95.0,14.8,6.2,15.2,4.0,9.2,12.0,14.149779999999998,10.27632,5.4,3.0,12.0,0.4,2.4,9.4,14.0,13.103119999999999,5.4,5.0,8.6,11.2,1.2,1.0,0.0
7384,5.0,2018.0,168.0,165.0,13.6,3.2,10.8,4.0,11.2,11.6,8.359779999999997,11.347100000000003,5.0,4.0,8.4,1.4,4.6,7.6,9.4,9.408739999999996,4.4,3.6,10.8,7.4,1.6,1.8,1.0
7387,2.0,2018.0,105.0,111.0,14.6,5.6,11.0,3.2,12.0,11.0,11.08178,14.267759999999999,7.8,4.4,11.0,0.6,5.2,9.8,10.4,16.240239999999996,6.8,3.6,8.8,8.8,2.8,3.0,2.0
7388,4.0,2018.0,231.0,148.0,19.4,7.2,12.4,3.8,12.8,10.6,7.51,14.19572,4.6,4.8,16.2,1.0,6.0,14.4,12.6,11.531659999999999,3.4,4.4,13.0,8.4,2.8,1.6,0.0
7386,4.0,2018.0,143.0,145.0,21.8,7.6,10.2,3.0,13.0,7.8,7.496900000000001,14.146859999999998,5.2,4.0,17.6,0.6,5.2,12.6,11.0,11.883399999999998,3.4,4.6,12.2,8.0,2.0,2.4,2.0
7385,5.0,2018.0,224.0,177.0,13.6,4.2,10.6,3.8,10.6,12.0,9.04192,13.052360000000004,3.6,4.8,9.6,1.8,4.4,7.6,9.0,8.207359999999996,4.8,4.8,11.6,6.8,1.0,1.4,2.0
7389,1.0,2018.0,90.0,78.0,14.25,5.75,13.5,7.0,8.25,12.5,9.419749999999999,11.018150000000004,7.75,4.75,11.25,0.75,4.666666666666667,8.0,10.666666666666666,9.69526666666666,8.666666666666666,6.666666666666667,8.666666666666666,11.666666666666666,2.0,2.0,2.0
8144,5.0,2018.0,175.0,181.0,10.8,4.0,14.4,4.6,8.4,10.2,19.32426,7.060240000000003,5.4,3.6,7.4,1.4,4.2,10.4,8.6,10.189439999999996,7.6,2.6,11.2,8.0,2.2,1.0,2.0
8845,4.0,2018.0,140.0,156.0,13.6,4.6,12.8,4.8,9.0,9.2,13.085400000000002,15.355640000000003,6.4,3.2,9.6,1.2,5.4,12.6,14.6,5.692439999999998,9.4,2.6,13.8,5.4,1.8,1.8,1.0
