,leagueID,season,homeTeamID,awayTeamID,xGoals_h,shots_h,shotsOnTarget_h,deep_h,ppda_h,corners_h,total_xAssists_h,total_key_passes_h,total_xGoalsChain_h,total_blocked_shots_h,total_saved_shots_h,xGoals_a,shots_a,shotsOnTarget_a,deep_a,ppda_a,corners_a,total_xAssists_a,total_key_passes_a,total_xGoalsChain_a,total_blocked_shots_a,total_saved_shots_a,game_month,game_day,redCards_h_cat,redCards_a_cat,ownGoals_h_cat,ownGoals_a_cat,yellowCards_h_cat,yellowCards_a_cat,total_assists_h_cat,total_assists_a_cat,result
43,1.0,2015.0,90.0,84.0,1.57333,17.0,6.0,3.0,11.2593,1.0,1.330491768,11.0,3.287402723,4.0,5.0,0.503008,8.0,3.0,8.0,6.7,3.0,0.493221037,7.0,1.618908051,1.0,3.0,9.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0
44,1.0,2015.0,76.0,74.0,0.409143,8.0,1.0,5.0,20.4118,4.0,0.358655412,7.0,0.823819495,3.0,1.0,1.00731,15.0,4.0,7.0,8.5556,5.0,0.964546287,14.0,3.697155595,5.0,4.0,9.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
45,1.0,2015.0,79.0,73.0,1.33151,12.0,4.0,7.0,9.9615,4.0,1.205288863,9.0,5.818173563,0.0,1.0,0.389495,7.0,2.0,3.0,11.6316,4.0,0.389495084,7.0,0.655229876,2.0,1.0,9.0,12.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0
46,1.0,2015.0,89.0,87.0,1.46206,9.0,3.0,4.0,9.7778,4.0,0.607836689,6.0,1.539476916,3.0,0.0,1.02572,8.0,4.0,5.0,14.4762,4.0,0.91177603,6.0,0.678553373,1.0,2.0,9.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0
47,1.0,2015.0,77.0,82.0,1.71282,12.0,2.0,4.0,12.0556,6.0,0.980886168,10.0,3.685100671,5.0,2.0,1.45615,15.0,4.0,0.0,5.1724,0.0,1.376817139,13.0,7.657001534,5.0,3.0,9.0,13.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
48,1.0,2015.0,75.0,71.0,1.34987,21.0,6.0,11.0,7.1515,4.0,1.178127906,17.0,4.375313433,6.0,3.0,0.953181,11.0,4.0,5.0,8.4091,5.0,0.894422924,10.0,2.143011868,4.0,2.0,9.0,13.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0
49,1.0,2015.0,81.0,86.0,1.71282,17.0,3.0,4.0,11.72,6.0,1.207476353,13.0,4.454906452,6.0,1.0,0.716599,14.0,4.0,4.0,8.2222,7.0,0.554400125,8.0,3.049576851,5.0,4.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0
50,1.0,2015.0,80.0,83.0,1.01573,22.0,6.0,0.0,6.0938,5.0,1.92814053,20.0,6.878423546,0.0,5.0,0.775312,9.0,2.0,5.0,13.1818,5.0,0.186445318,5.0,1.147402561,3.0,2.0,9.0,19.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0
51,1.0,2015.0,86.0,90.0,1.15114,15.0,5.0,7.0,9.4444,5.0,1.013703797,12.0,3.131281693,3.0,4.0,1.33961,13.0,4.0,0.0,7.5946,5.0,1.318656756,12.0,6.881934814,3.0,2.0,9.0,19.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0
52,1.0,2015.0,71.0,76.0,0.876719,13.0,3.0,5.0,6.12,2.0,0.563350716,7.0,2.832998149,5.0,3.0,0.632761,11.0,6.0,2.0,8.4138,7.0,0.635082312,11.0,1.457809903,3.0,5.0,9.0,19.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0
